DATE,PCC_SITENAME,PCC_AUDIENCE,PCC_UNIT_TYPE,PCC_PLATFORM_DEVICE,ENGAGEMENTS,LIKES,SHARES,LEADS,FOLLOWS,COMMENTS,REACTIONS,LANDING_PAGE_CLICKS
2022-05-25,LINKEDIN,Native,Video,Cross Device,0,0,0,0,0,0,0,0
2022-05-25,LINKEDIN,Native,Video,Cross Device,0,0,0,0,0,0,0,0
2022-05-25,LINKEDIN,Native,Video,Cross Device,0,0,0,0,0,0,0,0
2022-05-24,LINKEDIN,Native,Video,Cross Device,0,0,0,0,0,0,0,0
2022-05-26,LINKEDIN,Native,Video,Cross Device,0,0,0,0,0,0,0,0
2022-05-26,LINKEDIN,Native,Video,Cross Device,0,2,0,0,0,0,0,0
2022-05-26,LINKEDIN,Native,Video,Cross Device,0,0,0,5,0,5,0,0
2022-05-26,LINKEDIN,Native,Video,Cross Device,0,0,0,0,0,0,0,0
2022-05-27,LINKEDIN,Native,Video,Cross Device,0,0,0,0,0,0,0,0
2022-05-27,LINKEDIN,Native,Video,Cross Device,0,0,0,0,0,0,5,0
